generation: 100, power_min: 93.32474, power_avg: 122.12704, power_max: 164.23568, util_min: 3.39, util_avg: 4.2679, util_max: 4.78
generation: 200, power_min: 104.98919, power_avg: 131.58211, power_max: 164.75026, util_min: 3.26, util_avg: 3.7857, util_max: 4.14
generation: 300, power_min: 109.87793, power_avg: 122.80562, power_max: 131.27247, util_min: 3.29, util_avg: 3.7727, util_max: 4.03
generation: 400, power_min: 102.96165, power_avg: 115.75252, power_max: 123.06116, util_min: 3.42, util_avg: 3.7796, util_max: 4.0
generation: 500, power_min: 102.62211, power_avg: 111.33879, power_max: 116.20988, util_min: 3.26, util_avg: 3.7677, util_max: 4.0
generation: 600, power_min: 100.30185, power_avg: 108.33143, power_max: 113.89432, util_min: 3.34, util_avg: 3.7733, util_max: 4.0
generation: 700, power_min: 95.5014, power_avg: 105.91114, power_max: 113.89432, util_min: 3.34, util_avg: 3.7541, util_max: 3.99
generation: 800, power_min: 94.64651, power_avg: 103.44331, power_max: 113.89432, util_min: 3.45, util_avg: 3.8021, util_max: 3.99
generation: 900, power_min: 90.91494, power_avg: 101.10468, power_max: 113.89432, util_min: 3.45, util_avg: 3.8489, util_max: 3.99
generation: 1000, power_min: 87.8034, power_avg: 98.16622, power_max: 113.89432, util_min: 3.48, util_avg: 3.8937, util_max: 4.03
generation: 1100, power_min: 87.8034, power_avg: 97.49132, power_max: 113.89432, util_min: 3.56, util_avg: 3.9462, util_max: 4.0
generation: 1200, power_min: 90.70099, power_avg: 99.0508, power_max: 113.89432, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 1300, power_min: 101.10846, power_avg: 102.26611, power_max: 113.89432, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 1400, power_min: 102.12655, power_avg: 102.57599, power_max: 113.89432, util_min: 3.91, util_avg: 3.9892, util_max: 3.99
generation: 1500, power_min: 102.12655, power_avg: 102.75208, power_max: 113.89432, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 1600, power_min: 102.12655, power_avg: 103.24963, power_max: 115.12378, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 1700, power_min: 102.12655, power_avg: 104.15775, power_max: 115.12378, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 1800, power_min: 102.12655, power_avg: 105.32369, power_max: 115.12378, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 1900, power_min: 103.06226, power_avg: 106.35351, power_max: 115.12378, util_min: 3.62, util_avg: 3.9863, util_max: 3.99
generation: 2000, power_min: 104.66841, power_avg: 109.91106, power_max: 115.37204, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 2100, power_min: 109.9501, power_avg: 112.67962, power_max: 115.37204, util_min: 3.99, util_avg: 3.9904, util_max: 4.03
generation: 2200, power_min: 113.89432, power_avg: 114.72221, power_max: 116.18489, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 2300, power_min: 115.12378, power_avg: 115.59394, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 2400, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 2500, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 2600, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 2700, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 2800, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 2900, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3000, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3100, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3200, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3300, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3400, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3500, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3600, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3700, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3800, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3900, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4000, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4100, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4200, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4300, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4400, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4500, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4600, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4700, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4800, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4900, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5000, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5100, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5200, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5300, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5400, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5500, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5600, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5700, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5800, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5900, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6000, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6100, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6200, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6300, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6400, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6500, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6600, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6700, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6800, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6900, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 7000, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 7100, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 7200, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 7300, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 7400, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 7500, power_min: 116.30581, power_avg: 116.30581, power_max: 116.30581, util_min: 3.99, util_avg: 3.99, util_max: 3.99
