generation: 100, power_min: 384.088, power_avg: 397.01421, power_max: 409.26469, util_min: 3.96, util_avg: 4.0948, util_max: 4.33
generation: 200, power_min: 399.936, power_avg: 401.3781, power_max: 402.216, util_min: 3.96, util_avg: 3.9747, util_max: 4.0
generation: 300, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 400, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 500, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 600, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 700, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 800, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 900, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 1000, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 1100, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 1200, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 1300, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 1400, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 1500, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 1600, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 1700, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 1800, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 1900, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 2000, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 2100, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 2200, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 2300, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 2400, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 2500, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 2600, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 2700, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 2800, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 2900, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3000, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3100, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3200, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3300, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3400, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3500, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3600, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3700, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3800, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 3900, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4000, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4100, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4200, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4300, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4400, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4500, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4600, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4700, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4800, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 4900, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5000, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5100, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5200, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5300, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5400, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5500, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5600, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5700, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5800, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5900, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6000, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6100, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6200, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6300, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6400, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
